Title,Location,Rooms,Size,Floor,Series,Price
"Bez starpniekiem un bez komisijas maksas, tieši no īpašnieka 3 i",centrsKlijānu 6,3,70,7/9,Jaun.,830  €/mēn.
Izīrē nelielu dzīvokli jaunbūvē Rīgas centrā - Stabu un Baznīcas,centrsStabu 2a,1,26,2/5,Jaun.,580  €/mēn.
"Izīrē nelielu, bet pilnībā aprīkotu dzīvokli pašā Rīgas centrā.",centrsLāčplēša 53,1,20,2/5,Renov.,400  €/mēn.
Izīrē mājīgu 75 kvadrātmetru divstāvīgu dzīvokli tuvu Rīgas cent,centrsHospitāļu 5a,3,75,2/2,P. kara,490  €/mēn.
Tiek izīrēts ļoti saulains un silts trīs istabu dzīvoklis. Dzīvo,MežciemsEizenšteina 31,3,63,5/9,602.,450  €/mēn.
Tikai 15 minušu gājienā līdz Vecrīgai. Lieliskā atrašanas vietā,ĀgenskalnsBāriņu 8,1,28,3/5,Hrušč.,300  €/mēn.
"Сдаю 1-комнатную квартиру. Квартира с мебелью, встроенная кухня,",PļavniekiSaharova 15,1,48,9/12,104.,300  €/mēn.
Izīrē 3 istaba dzīvokli. Pēc remonta viss ir jauns. Dzīvoklis sa,Krasta r-nsZilupes 31,3,60,7/9,467.,430  €/mēn.
Сдаётся 1-комнатная квартира. Квартира частично с мебелью (при н,ĶengaragsMaskavas 425,1,33,2/9,467.,250  €/mēn.
"3 stāvvietas, terase, mantu glabātuve. 
Ideāls dzīvoklis komfor",centrsRūpniecības 21,2,75,1/7,Jaun.,900  €/mēn.
"Сдается новая, современная, энергоэффективная 2-комнатная кварти",ImantaDumbrāja 29,2,62,7/13,Jaun.,750  €/mēn.
Dzīvoklis ar aristrokātisku sajūtu un skatu uz Latvijas Nacionāl,centrsRaiņa bulv. 27,2,34,5/6,Renov.,750  €/mēn.
"Lielisks piedāvājums cilvēkiem, kuri novērtē savu laiku un perso",ImantaKurzemes pr. 128,3,62,5/9,602.,600  €/mēn.
"Dzīvoklis īrei 29 kvm, 210 Eur mēnesī, Rīga, Teika
Pieejams īre",TeikaRopažu 76,1,29,5/5,Hrušč.,210  €/mēn.
"Izīrēju 1 dzīvokli 18 kv. m. m. , kopmītņu tipa, metāla durvis,",IļģuciemsStūres 2,1,18,2/5,M. ģim.,130  €/mēn.
"Tiek izīrēts (3 mēn. līdz 1 g. ) omulīgs, saulains 2 istabu dzīv",JuglaVidzemes al. 2,2,47,2/5,Hrušč.,320  €/mēn.
Saimnieks izirē svaigi remontētu dzīvokli.,centrsBruņinieku 93A,1,31,2/5,P. kara,250  €/mēn.
Izīrēju plašu vienistabas dzīvokli. Dzīvoklis sastāv no atsevišķ,Maskavas priekšpilsētaJersikas 37,1,35,4/4,P. kara,300  €/mēn.
"Tiek izīrēts trīsistabu dzīvoklis mājā, kura atrodas ērtā un klu",ĶengaragsBultu 3,3,65,2/9,467.,350  €/mēn.
Izīrē 2-istabu dzīvokli pilnībā renovētā ēkā. Dzīvojamā istaba a,centrsLaboratorijas 25,2,40,4/5,Renov.,500  €/mēn.
На длительный срок полностью готовая к проживанию квартира.,centrsKlijānu 12,2,31,1/2,Renov.,330  €/mēn.
Labdien. No jūnija mēneša būs pieejams 5 istabu dzivoklis Mežapa,MežaparksHamburgas 8,5,118,2/2,Priv. m.,"1,700  €/mēn."
